dates,Norway,Algeria,Russia,Azerbaijan,Libya,UK net flows,LNG,EU total,Nord Stream,Ukraine Gas Transit,"Yamal (BY,PL)",Turkstream
9/16/2023,151,106,82,34,5,24,242,646,,33,,48
9/17/2023,155,106,81,34,5,26,235,642,,33,,46
9/18/2023,171,110,84,33,7,23,285,713,,34,,48
9/19/2023,159,109,78,36,5,26,304,718,,35,,41
9/20/2023,138,110,77,33,5,41,299,703,,34,,41
9/21/2023,195,111,82,33,4,27,289,741,,35,,44
9/22/2023,224,112,94,33,4,18,285,771,,36,,54
9/23/2023,216,108,91,35,3,16,250,718,,36,,51
9/24/2023,209,109,89,35,3,15,267,726,,36,,49
9/25/2023,235,113,92,35,5,25,285,789,,36,,52
9/26/2023,223,113,94,35,5,25,308,803,,38,,52
9/27/2023,192,113,98,35,5,38,311,791,,39,,55
9/28/2023,212,111,96,35,8,40,283,783,,36,,55
9/29/2023,225,111,98,36,8,26,294,796,,39,,54
9/30/2023,235,110,90,34,4,20,282,774,,36,,50
10/1/2023,225,83,76,34,9,14,287,728,,33,,38
10/2/2023,226,92,82,34,5,30,312,781,,37,,39
10/3/2023,228,92,83,34,8,26,297,768,,38,,39
10/4/2023,245,92,76,34,6,24,318,795,,29,,40
10/5/2023,254,92,80,34,5,32,291,788,,31,,42
10/6/2023,252,91,77,34,8,31,330,822,,30,,39
10/7/2023,254,66,69,37,5,35,260,726,,27,,34
10/8/2023,258,64,74,37,5,37,263,739,,27,,39
10/9/2023,261,81,77,38,10,42,351,860,,27,,43
10/10/2023,261,83,91,39,10,42,372,897,,38,,46
10/11/2023,259,88,91,32,5,40,355,869,,38,,46
10/12/2023,267,99,95,32,3,25,337,859,,39,,49
10/13/2023,268,99,93,34,6,30,321,852,,39,,47
10/14/2023,266,87,94,39,6,19,288,799,,39,,46
10/15/2023,264,87,96,39,6,23,295,810,,39,,47
10/16/2023,267,110,101,39,9,22,354,901,,39,,53
10/17/2023,216,112,102,39,9,41,333,850,,40,,53
10/18/2023,263,111,106,39,11,43,325,897,,40,,55
10/19/2023,252,113,104,39,8,44,307,867,,39,,55
10/20/2023,262,103,103,38,6,44,303,858,,39,,54
10/21/2023,252,77,93,38,4,38,306,807,,38,,45
10/22/2023,252,75,94,38,7,33,325,823,,38,,46
10/23/2023,256,96,100,38,7,46,380,923,,39,,51
10/24/2023,253,104,99,38,3,48,370,913,,39,,51
10/25/2023,257,105,102,38,5,46,345,898,,40,,55
10/26/2023,255,109,101,38,5,43,363,914,,40,,53
10/27/2023,257,97,100,38,7,41,354,893,,41,,51
10/28/2023,256,80,92,39,4,35,351,856,,37,,47
10/29/2023,242,79,90,39,7,29,343,830,,37,,44
10/30/2023,248,103,98,39,7,25,364,884,,40,,49
10/31/2023,218,105,96,39,8,20,357,843,,40,,48
11/1/2023,249,81,85,38,5,30,358,846,,38,,38
11/2/2023,258,77,72,37,8,43,338,831,,29,,35
11/3/2023,244,75,81,38,6,46,351,841,,34,,39
11/4/2023,251,79,79,38,6,23,332,808,,36,,36
11/5/2023,266,75,84,38,6,19,329,817,,36,,39
11/6/2023,266,79,87,38,10,30,365,875,,38,,41
11/7/2023,265,79,89,38,11,40,399,920,,41,,41
11/8/2023,267,79,88,37,10,40,403,923,,42,,40
11/9/2023,270,83,90,37,10,43,415,948,,41,,43
11/10/2023,262,85,91,37,9,46,428,958,,41,,43
11/11/2023,246,94,88,37,8,42,421,936,,40,,40
11/12/2023,245,92,88,37,10,42,401,914,,40,,41
11/13/2023,252,89,92,37,12,47,393,922,,38,,46
11/14/2023,253,88,93,37,11,57,375,914,,40,,45
11/15/2023,256,88,94,35,9,60,362,904,,40,,46
11/16/2023,268,88,95,36,11,27,403,927,,41,,46
11/17/2023,266,90,96,35,12,31,421,952,,45,,42
11/18/2023,268,86,90,37,10,15,383,888,,43,,38
11/19/2023,268,85,89,37,8,14,388,890,,42,,38
11/20/2023,268,87,101,37,12,16,412,932,,46,,46
11/21/2023,270,85,105,35,13,21,403,932,,48,,48
11/22/2023,272,86,105,34,12,15,394,916,,50,,45
11/23/2023,273,86,100,36,14,15,375,899,,49,,43
11/24/2023,254,94,103,36,16,22,387,912,,50,,43
11/25/2023,260,87,104,32,11,20,394,908,,47,,47
11/26/2023,269,86,107,37,11,19,420,950,,48,,49
,,,,,,,,,,,,
,,,,,,,,,,,,
