date_show,2023,2022,2021
2023-01-01,102.24896337603013,127.09715992650958,142.493867
2023-01-02,102.24896337603013,131.56445397242163,148.928785
2023-01-03,102.24896337603013,131.56445397242163,153.578289
2023-01-04,102.24896337603013,131.67795053910405,182.75721997242164
2023-01-05,104.4555369957919,131.67795053910405,183.9700879957919
2023-01-06,111.59432053910405,135.06346872511395,195.20629353910405
2023-01-07,115.81107372511394,135.88233999579194,210.29861372511394
2023-01-08,120.56739526906003,177.1663910757536,216.65823223102674
2023-01-09,121.57758518138928,177.1663910757536,222.09816126906006
2023-01-10,126.14741907575358,188.44518326906004,224.38732118138932
2023-01-11,130.95674423102676,193.26582823102675,227.3999672001133
2023-01-12,137.3848015958732,197.87575518138934,228.59930959587322
2023-01-13,137.3848015958732,201.71953832401857,228.59930959587322
2023-01-14,137.3848015958732,201.71953832401857,228.59930959587322
2023-01-15,137.3848015958732,201.71953832401857,227.3999672001133
2023-01-16,137.3848015958732,201.71953832401857,228.59930959587322
2023-01-17,137.3848015958732,200.76797314678748,220.82442013466834
2023-01-18,137.3848015958732,197.1748942269478,220.1083496333557
2023-01-19,154.56669914678744,196.90890989333525,219.31421022694778
2023-01-20,156.70347522694777,195.9576954973445,218.90875546521474
2023-01-21,158.45565889333528,195.90721013466836,218.90875546521474
2023-01-22,160.9083262447652,192.509880638068,213.7927328933353
2023-01-23,169.37663863806802,191.60926881132173,207.07789081132168
2023-01-24,169.37663863806802,191.60926881132173,189.90241373039566
2023-01-25,169.37663863806802,191.60926881132173,189.90241373039566
2023-01-26,169.37663863806802,192.509880638068,189.90241373039566
2023-01-27,164.69992817574987,197.28322773039574,189.90241373039566
2023-01-28,160.9083262447652,197.28322773039574,189.90241373039566
2023-01-29,159.55642473039566,197.28322773039574,189.90241373039566
2023-01-30,159.55642473039566,197.28322773039574,189.90241373039566
2023-01-31,158.541220614716,182.07988738945693,171.50093233722276
2023-02-01,147.14064888925952,180.59630924074824,171.50093233722276
2023-02-02,147.01772338945688,169.1276588208541,167.86025438945688
2023-02-03,140.0434268208541,157.46875488925951,161.54930582085407
2023-02-04,134.34774124074826,149.87032201633147,151.68227742014562
2023-02-05,118.26026601633146,149.06318442014563,151.68227742014562
2023-02-06,118.26026601633146,149.87032201633147,141.62518293419205
2023-02-07,118.26026601633146,149.87032201633147,141.62518293419205
2023-02-08,118.26026601633146,149.87032201633147,141.62518293419205
2023-02-09,153.47733993419206,151.19993393419205,151.68227742014562
2023-02-10,156.27900585453668,158.81446909485157,152.03593585453672
2023-02-11,156.27900585453668,160.12188985453673,180.91812136055097
2023-02-12,157.02150888019523,166.67474321231947,197.29159309485155
2023-02-13,157.02150888019523,172.10439666082434,199.66055966082436
2023-02-14,157.02150888019523,172.10439666082434,227.83539066197875
2023-02-15,149.41847921231954,172.10439666082434,227.83539066197875
2023-02-16,148.78385242877934,168.8427256619787,227.83539066197875
2023-02-17,138.54978878259186,168.8427256619787,227.83539066197875
2023-02-18,136.28375166197873,168.8427256619787,213.09456678259187
2023-02-19,119.82738450063874,147.4301135006387,154.64266250063872
2023-02-20,107.88246209510686,122.4019806532243,150.55198165322435
2023-02-21,96.51904622421368,122.4019806532243,145.3289700951069
2023-02-22,96.51904622421368,122.4019806532243,143.84887294285005
2023-02-23,96.0498574884239,122.4019806532243,142.23785285459604
2023-02-24,84.73097265322433,127.7812453271286,124.26849722421372
2023-02-25,95.63556288475114,129.87287957605238,119.80841048842389
2023-02-26,96.0498574884239,136.03269094285008,117.58813757605236
2023-02-27,96.51904622421368,143.07750722421375,117.58813757605236
2023-02-28,103.37810594285011,148.19199525437813,117.58813757605236
2023-03-01,116.11834683163134,151.18394688475115,117.58813757605236
2023-03-02,132.58175225437813,151.18394688475115,118.64636025437814
2023-03-03,132.58175225437813,151.18394688475115,129.52028480814243
2023-03-04,132.58175225437813,150.93158773915786,129.52028480814243
2023-03-05,132.58175225437813,150.93158773915786,133.31875785130887
2023-03-06,126.42902101421797,153.54978280814245,134.91120907755473
2023-03-07,123.73985585130887,150.93158773915786,134.91120907755473
2023-03-08,116.11661007755472,150.93158773915786,134.91120907755473
2023-03-09,113.51138500717494,148.59609231727154,133.31875785130887
2023-03-10,106.1410793172715,148.59609231727154,134.67255222054217
2023-03-11,105.66589915837416,141.5003154531332,134.67255222054217
2023-03-12,102.55335596467599,140.5615120071749,133.2317354531332
2023-03-13,102.28270422054217,129.18388022054216,130.39079300717495
2023-03-14,101.61162906189222,116.53678515837417,133.2317354531332
2023-03-15,101.61162906189222,116.53678515837417,133.2317354531332
2023-03-16,102.28270422054217,116.53678515837417,134.67255222054217
2023-03-17,105.66589915837416,116.53678515837417,136.82586406189222
2023-03-18,101.61162906189222,117.7339408061703,164.21652402601842
2023-03-19,101.61162906189222,118.8008910260184,172.8292328061703
2023-03-20,104.51136709210955,118.8008910260184,172.8292328061703
2023-03-21,104.51136709210955,118.8008910260184,172.8292328061703
2023-03-22,97.46572058792728,119.7555011553178,172.8292328061703
2023-03-23,96.47166321170687,119.7555011553178,163.99781558792733
2023-03-24,91.11469569503221,127.92083558792731,160.71302309210955
2023-03-25,91.11469569503221,115.35950721170684,154.3042778247725
2023-03-26,85.53107885620425,113.71402809210959,153.85987621170685
2023-03-27,85.53107885620425,100.6930788247725,136.73125085620424
2023-03-28,85.53107885620425,90.74045080870872,112.35677080870873
2023-03-29,85.02461503129535,87.64816503129535,105.84295080390788
2023-03-30,85.53107885620425,87.64816503129535,102.38215903129534
2023-03-31,85.02461503129535,87.64816503129535,99.29396572467496
2023-04-01,85.02461503129535,87.64816503129535,98.9677076525692
2023-04-02,80.94925280390788,91.57082515065498,89.25423315065498
2023-04-03,80.94925280390788,104.06398624540594,89.25423315065498
2023-04-04,80.94925280390788,126.3883874251279,89.25423315065498
2023-04-05,89.261505150655,126.3883874251279,89.25423315065498
2023-04-06,92.426235522806,126.3883874251279,105.94682378248017
2023-04-07,92.426235522806,126.3883874251279,118.8474005007318
2023-04-08,96.17556850073179,124.02926852280603,124.93534752280603
2023-04-09,96.17556850073179,124.02926852280603,138.11918374340829
2023-04-10,92.426235522806,117.78986560706991,138.11918374340829
2023-04-11,87.1884776070699,107.73835309320785,138.11918374340829
2023-04-12,87.1884776070699,107.61581769813327,150.81882274117282
2023-04-13,87.1884776070699,100.13283174117284,150.81882274117282
2023-04-14,93.50024374117284,99.18163485871581,150.81882274117282
2023-04-15,90.30606767262188,86.78084712087804,150.81882274117282
2023-04-16,93.50024374117284,84.76881559763763,156.79577967262185
2023-04-17,93.50024374117284,84.76881559763763,156.79577967262185
2023-04-18,93.50024374117284,86.78084712087804,156.79577967262185
2023-04-19,96.04424212087807,84.76881559763763,156.79577967262185
2023-04-20,90.30606767262188,84.76881559763763,139.61418997357606
2023-04-21,87.85106792554032,85.68591565416855,133.76840385711813
