,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2016-01-01 06:00,2016-01-02 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
1,Physical Flow,day,2016-01-02 06:00,2016-01-03 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
2,Physical Flow,day,2016-01-03 06:00,2016-01-04 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
3,Physical Flow,day,2016-01-04 06:00,2016-01-05 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
4,Physical Flow,day,2016-01-05 06:00,2016-01-06 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
5,Physical Flow,day,2016-01-06 06:00,2016-01-07 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
6,Physical Flow,day,2016-01-07 06:00,2016-01-08 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
7,Physical Flow,day,2016-01-08 06:00,2016-01-09 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
8,Physical Flow,day,2016-01-09 06:00,2016-01-10 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
9,Physical Flow,day,2016-01-10 06:00,2016-01-11 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
10,Physical Flow,day,2016-01-11 06:00,2016-01-12 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
11,Physical Flow,day,2016-01-12 06:00,2016-01-13 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
12,Physical Flow,day,2016-01-13 06:00,2016-01-14 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
13,Physical Flow,day,2016-01-14 06:00,2016-01-15 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
14,Physical Flow,day,2016-01-15 06:00,2016-01-16 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
15,Physical Flow,day,2016-01-16 06:00,2016-01-17 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
16,Physical Flow,day,2016-01-17 06:00,2016-01-18 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
17,Physical Flow,day,2016-01-18 06:00,2016-01-19 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 07:08,,Provisional,yes,,,,
18,Physical Flow,day,2016-01-19 06:00,2016-01-20 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-20 10:36,,Provisional,yes,,,,
19,Physical Flow,day,2016-01-20 06:00,2016-01-21 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-21 10:38,,Provisional,yes,,,,
20,Physical Flow,day,2016-01-21 06:00,2016-01-22 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-22 10:36,,Provisional,yes,,,,
21,Physical Flow,day,2016-01-22 06:00,2016-01-23 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2016-01-23 10:40,,Provisional,yes,,,,
