,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2017-01-01 06:00,2017-01-02 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:28,,Provisional,,,,,
1,Physical Flow,day,2017-01-02 06:00,2017-01-03 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
2,Physical Flow,day,2017-01-03 06:00,2017-01-04 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
3,Physical Flow,day,2017-01-04 06:00,2017-01-05 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
4,Physical Flow,day,2017-01-05 06:00,2017-01-06 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
5,Physical Flow,day,2017-01-06 06:00,2017-01-07 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
6,Physical Flow,day,2017-01-07 06:00,2017-01-08 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:34,,Provisional,,,,,
7,Physical Flow,day,2017-01-08 06:00,2017-01-09 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:42,,Provisional,,,,,
8,Physical Flow,day,2017-01-09 06:00,2017-01-10 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:42,,Provisional,,,,,
9,Physical Flow,day,2017-01-10 06:00,2017-01-11 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:42,,Provisional,,,,,
10,Physical Flow,day,2017-01-11 06:00,2017-01-12 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:42,,Provisional,,,,,
11,Physical Flow,day,2017-01-12 06:00,2017-01-13 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2018-02-06 15:42,,Provisional,,,,,
12,Physical Flow,day,2017-01-13 06:00,2017-01-14 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2017-02-24 08:18,,Provisional,,,,,
13,Physical Flow,day,2017-01-14 06:00,2017-01-15 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,entry,kWh/d,,,0,2017-02-24 08:18,,Provisional,,,,,
