,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2020-01-01 06:00,2020-01-02 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,232149694,2020-07-22 15:17,,Confirmed,no,,no,,
1,Physical Flow,day,2020-01-02 06:00,2020-01-03 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,267278167,2020-07-22 15:17,,Confirmed,no,,no,,
2,Physical Flow,day,2020-01-03 06:00,2020-01-04 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,326983768,2020-07-22 15:17,,Confirmed,no,,no,,
3,Physical Flow,day,2020-01-04 06:00,2020-01-05 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,302527091,2020-07-22 15:17,,Confirmed,no,,no,,
4,Physical Flow,day,2020-01-05 06:00,2020-01-06 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,288870601,2020-07-22 15:17,,Confirmed,no,,no,,
5,Physical Flow,day,2020-01-06 06:00,2020-01-07 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,248315833,2020-07-22 15:17,,Confirmed,no,,no,,
6,Physical Flow,day,2020-01-07 06:00,2020-01-08 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,413728514,2020-07-22 15:17,,Confirmed,no,,no,,
7,Physical Flow,day,2020-01-08 06:00,2020-01-09 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,446195610,2020-07-22 15:17,,Confirmed,no,,no,,
8,Physical Flow,day,2020-01-09 06:00,2020-01-10 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,427369273,2020-07-22 15:17,,Confirmed,no,,no,,
9,Physical Flow,day,2020-01-10 06:00,2020-01-11 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,426515190,2020-07-22 15:17,,Confirmed,no,,no,,
10,Physical Flow,day,2020-01-11 06:00,2020-01-12 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,411084818,2020-07-22 15:17,,Confirmed,no,,no,,
11,Physical Flow,day,2020-01-12 06:00,2020-01-13 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,413373864,2020-07-22 15:17,,Confirmed,no,,no,,
12,Physical Flow,day,2020-01-13 06:00,2020-01-14 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,423933527,2020-07-22 15:17,,Confirmed,no,,no,,
13,Physical Flow,day,2020-01-14 06:00,2020-01-15 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,407587791,2020-07-22 15:17,,Confirmed,no,,no,,
14,Physical Flow,day,2020-01-15 06:00,2020-01-16 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,410121963,2020-07-22 15:17,,Confirmed,no,,no,,
15,Physical Flow,day,2020-01-16 06:00,2020-01-17 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,399463218,2020-07-22 15:17,,Confirmed,no,,no,,
16,Physical Flow,day,2020-01-17 06:00,2020-01-18 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,421995108,2020-07-22 15:17,,Confirmed,no,,no,,
17,Physical Flow,day,2020-01-18 06:00,2020-01-19 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,413489690,2020-07-22 15:17,,Confirmed,no,,no,,
18,Physical Flow,day,2020-01-19 06:00,2020-01-20 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,393687432,2020-07-22 15:17,,Confirmed,no,,no,,
19,Physical Flow,day,2020-01-20 06:00,2020-01-21 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Griespass (CH) / Passo Gries (IT),21Z0000000002107,entry,kWh/d,,,409792290,2020-07-22 15:17,,Confirmed,no,,no,,
