,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2021-01-01 06:00,2021-01-02 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
1,Physical Flow,day,2021-01-02 06:00,2021-01-03 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
2,Physical Flow,day,2021-01-03 06:00,2021-01-04 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
3,Physical Flow,day,2021-01-04 06:00,2021-01-05 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
4,Physical Flow,day,2021-01-05 06:00,2021-01-06 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
5,Physical Flow,day,2021-01-06 06:00,2021-01-07 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
6,Physical Flow,day,2021-01-07 06:00,2021-01-08 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
7,Physical Flow,day,2021-01-08 06:00,2021-01-09 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
8,Physical Flow,day,2021-01-09 06:00,2021-01-10 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
9,Physical Flow,day,2021-01-10 06:00,2021-01-11 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
10,Physical Flow,day,2021-01-11 06:00,2021-01-12 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
11,Physical Flow,day,2021-01-12 06:00,2021-01-13 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
12,Physical Flow,day,2021-01-13 06:00,2021-01-14 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
13,Physical Flow,day,2021-01-14 06:00,2021-01-15 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
14,Physical Flow,day,2021-01-15 06:00,2021-01-16 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
15,Physical Flow,day,2021-01-16 06:00,2021-01-17 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
16,Physical Flow,day,2021-01-17 06:00,2021-01-18 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
17,Physical Flow,day,2021-01-18 06:00,2021-01-19 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
18,Physical Flow,day,2021-01-19 06:00,2021-01-20 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
19,Physical Flow,day,2021-01-20 06:00,2021-01-21 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
20,Physical Flow,day,2021-01-21 06:00,2021-01-22 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
21,Physical Flow,day,2021-01-22 06:00,2021-01-23 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
22,Physical Flow,day,2021-01-23 06:00,2021-01-24 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
23,Physical Flow,day,2021-01-24 06:00,2021-01-25 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
24,Physical Flow,day,2021-01-25 06:00,2021-01-26 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
25,Physical Flow,day,2021-01-26 06:00,2021-01-27 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
26,Physical Flow,day,2021-01-27 06:00,2021-01-28 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,entry,kWh/d,no counterflow,,,2021-09-09 15:02,,,,yes,,,
