Kalenderwoche_show,2023,Mittelwert
2022W1,,-61.13636363636363
2022W2,,-156.52173913043478
2022W3,,-326.2173913043478
2022W4,,-345.95652173913044
2022W5,,-388.8695652173913
2022W6,,-338.0
2022W7,,-318.17391304347825
2022W8,,-315.82608695652175
2022W9,,-310.2608695652174
2022W10,,-312.7826086956522
2022W11,,-252.17391304347825
2022W12,,-197.95652173913044
2022W13,,-155.6086956521739
2022W14,,-167.2173913043478
2022W15,,-131.91304347826087
2022W16,,-103.82608695652173
2022W17,,-36.91304347826087
2022W18,,41.78260869565217
2022W19,,103.73913043478261
2022W20,,180.69565217391303
2022W21,,209.7391304347826
2022W22,,333.7826086956522
2022W23,,402.30434782608694
2022W24,,481.5217391304348
2022W25,,560.1304347826087
2022W26,,534.6086956521739
2022W27,,476.4347826086956
2022W28,,453.2173913043478
2022W29,,404.3478260869565
2022W30,,319.2173913043478
2022W31,,336.7826086956522
2022W32,,369.4782608695652
2022W33,,295.2608695652174
2022W34,,257.39130434782606
2022W35,,176.43478260869566
2022W36,,134.7391304347826
2022W37,,95.43478260869566
2022W38,,31.434782608695652
2022W39,,9.73913043478261
2022W40,,-46.95652173913044
2022W41,,-14.869565217391305
2022W42,,-39.04347826086956
2022W43,,-110.3913043478261
2022W44,,-103.47826086956522
2022W45,,-87.82608695652173
2022W46,,-135.43478260869566
2022W47,,-192.7826086956522
2022W48,,-236.69565217391303
2022W49,,-296.69565217391306
2022W50,,-288.0
2022W51,,-370.60869565217394
2022W52,,-293.6818181818182
