date_only,values_day_ahead
2021-01-01,48.154583333333335
2021-01-02,55.17208333333334
2021-01-03,48.937916666666666
2021-01-04,60.38375
2021-01-05,58.86666666666667
2021-01-06,57.705000000000005
2021-01-07,70.32833333333333
2021-01-08,78.18708333333333
2021-01-09,61.30875
2021-01-10,57.550000000000004
2021-01-11,72.34833333333333
2021-01-12,66.94958333333334
2021-01-13,68.19666666666667
2021-01-14,74.87583333333333
2021-01-15,79.88416666666667
2021-01-16,57.35874999999999
2021-01-17,57.49
2021-01-18,66.29166666666667
2021-01-19,63.73708333333334
2021-01-20,56.82083333333333
2021-01-21,56.21208333333333
2021-01-22,56.27375
2021-01-23,53.002916666666664
2021-01-24,50.699999999999996
2021-01-25,65.32833333333333
2021-01-26,66.20208333333333
2021-01-27,62.94291666666667
2021-01-28,56.250416666666666
2021-01-29,52.62083333333334
2021-01-30,48.81916666666667
2021-01-31,45.998333333333335
2021-02-01,58.150000000000006
2021-02-02,57.86916666666667
2021-02-03,53.87833333333333
2021-02-04,53.02041666666667
2021-02-05,52.98583333333334
2021-02-06,48.550000000000004
2021-02-07,42.23166666666666
2021-02-08,54.026666666666664
2021-02-09,64.43333333333334
2021-02-10,67.46333333333332
2021-02-11,78.25208333333333
2021-02-12,68.39291666666666
2021-02-13,55.754999999999995
2021-02-14,48.66916666666666
2021-02-15,56.75208333333333
2021-02-16,59.14958333333333
2021-02-17,55.8475
2021-02-18,53.51708333333334
2021-02-19,51.655833333333334
2021-02-20,44.25666666666667
2021-02-21,34.557916666666664
2021-02-22,51.12291666666667
2021-02-23,52.84916666666666
2021-02-24,50.8525
2021-02-25,51.62291666666667
2021-02-26,51.94208333333333
2021-02-27,47.83625
2021-02-28,42.87083333333334
2021-03-01,54.26666666666667
2021-03-02,55.655833333333334
2021-03-03,55.66791666666666
2021-03-04,53.645
2021-03-05,54.09
2021-03-06,49.98
2021-03-07,47.11333333333334
2021-03-08,60.593333333333334
2021-03-09,61.83958333333334
2021-03-10,54.50208333333333
2021-03-11,53.560833333333335
2021-03-12,55.031666666666666
2021-03-13,50.86041666666667
2021-03-14,34.02791666666666
2021-03-15,54.915416666666665
2021-03-16,61.880833333333335
2021-03-17,62.8425
2021-03-18,64.12666666666667
2021-03-19,64.295
2021-03-20,57.30083333333334
2021-03-21,49.76833333333334
2021-03-22,61.27375
2021-03-23,63.33833333333333
2021-03-24,62.196666666666665
2021-03-25,62.90833333333333
2021-03-26,62.35208333333333
2021-03-27,55.48500000000001
2021-03-28,40.41791666666666
2021-03-29,59.18083333333333
2021-03-30,58.69958333333333
2021-03-31,59.606249999999996
2021-04-01,54.29333333333333
2021-04-02,48.41291666666667
2021-04-03,40.55291666666667
2021-04-04,28.01875
2021-04-05,14.785416666666668
2021-04-06,59.3725
2021-04-07,68.57833333333333
2021-04-08,73.60708333333334
2021-04-09,68.54833333333333
2021-04-10,61.57375
2021-04-11,55.43875
2021-04-12,75.19166666666666
2021-04-13,81.69541666666667
2021-04-14,80.85041666666667
2021-04-15,82.46541666666667
2021-04-16,73.67458333333333
2021-04-17,63.809583333333336
2021-04-18,63.149166666666666
2021-04-19,82.20416666666667
2021-04-20,82.36375
2021-04-21,75.34416666666667
2021-04-22,74.265
2021-04-23,67.455
2021-04-24,53.56791666666667
2021-04-25,40.355
2021-04-26,65.20875
2021-04-27,68.94416666666667
2021-04-28,66.03916666666667
2021-04-29,68.23375
2021-04-30,72.155
2021-05-01,58.90166666666667
2021-05-02,47.86375
2021-05-03,60.66416666666667
2021-05-04,47.93125
2021-05-05,61.13958333333333
2021-05-06,72.58291666666666
2021-05-07,69.91291666666667
2021-05-08,49.37
2021-05-09,4.169999999999999
2021-05-10,59.469166666666666
2021-05-11,70.38666666666667
2021-05-12,68.17083333333333
2021-05-13,56.409166666666664
2021-05-14,67.41208333333334
2021-05-15,61.598333333333336
2021-05-16,42.135
2021-05-17,68.18416666666667
2021-05-18,74.07708333333333
2021-05-19,74.86375
2021-05-20,70.01125
2021-05-21,43.95291666666666
2021-05-22,23.897916666666664
2021-05-23,26.1875
2021-05-24,55.83375
2021-05-25,62.765416666666674
2021-05-26,69.97458333333334
2021-05-27,75.13416666666667
