,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
28,Physical Flow,day,2017-01-29 06:00,2017-01-30 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,254811650.0,2017-02-24 08:18,,Provisional,yes,,,,
29,Physical Flow,day,2017-01-30 06:00,2017-01-31 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,318390881.0,2017-02-24 08:18,,Provisional,yes,,,,
30,Physical Flow,day,2017-01-31 06:00,2017-02-01 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,389387837.0,2017-02-24 08:18,,Provisional,yes,,,,
31,Physical Flow,day,2017-02-01 06:00,2017-02-02 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,314131958.0,2017-02-24 08:18,,Provisional,yes,,,,
32,Physical Flow,day,2017-02-02 06:00,2017-02-03 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,328005865.0,2017-02-24 08:18,,Provisional,yes,,,,
33,Physical Flow,day,2017-02-03 06:00,2017-02-04 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,200381782.0,2017-02-24 08:18,,Provisional,yes,,,,
34,Physical Flow,day,2017-02-04 06:00,2017-02-05 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,117087867.0,2017-02-24 08:18,,Provisional,yes,,,,
35,Physical Flow,day,2017-02-05 06:00,2017-02-06 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,128426935.0,2017-02-24 08:18,,Provisional,yes,,,,
36,Physical Flow,day,2017-02-06 06:00,2017-02-07 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,160386356.0,2017-02-24 08:18,,Provisional,yes,,,,
37,Physical Flow,day,2017-02-07 06:00,2017-02-08 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,144963089.0,2017-02-24 08:18,,Provisional,yes,,,,
38,Physical Flow,day,2017-02-08 06:00,2017-02-09 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,147689685.0,2017-02-24 08:18,,Provisional,yes,,,,
39,Physical Flow,day,2017-02-09 06:00,2017-02-10 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,222457733.0,2017-02-24 08:18,,Provisional,yes,,,,
40,Physical Flow,day,2017-02-10 06:00,2017-02-11 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,299314962.0,2017-02-24 08:18,,Provisional,yes,,,,
41,Physical Flow,day,2017-02-11 06:00,2017-02-12 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,146066618.0,2017-02-24 08:18,,Provisional,yes,,,,
42,Physical Flow,day,2017-02-12 06:00,2017-02-13 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,138555077.0,2017-02-24 08:18,,Provisional,yes,,,,
43,Physical Flow,day,2017-02-13 06:00,2017-02-14 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,269406517.0,2017-02-24 08:18,,Provisional,yes,,,,
44,Physical Flow,day,2017-02-14 06:00,2017-02-15 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,199395491.0,2017-02-24 08:18,,Provisional,yes,,,,
