,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
12,Physical Flow,day,2018-01-13 06:00,2018-01-14 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219623439.0,2021-01-16 03:39,,Confirmed,no,,,,
13,Physical Flow,day,2018-01-14 06:00,2018-01-15 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,218252936.0,2021-01-16 02:29,,Confirmed,no,,,,
14,Physical Flow,day,2018-01-15 06:00,2018-01-16 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219843721.0,2021-01-16 00:47,,Confirmed,no,,,,
15,Physical Flow,day,2018-01-16 06:00,2018-01-17 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,220250522.0,2021-01-16 02:38,,Confirmed,no,,,,
16,Physical Flow,day,2018-01-17 06:00,2018-01-18 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219711613.0,2021-01-16 02:29,,Confirmed,no,,,,
17,Physical Flow,day,2018-01-18 06:00,2018-01-19 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219336304.0,2021-01-16 03:39,,Confirmed,no,,,,
18,Physical Flow,day,2018-01-19 06:00,2018-01-20 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,219378496.0,2021-01-16 02:38,,Confirmed,no,,,,
19,Physical Flow,day,2018-01-20 06:00,2018-01-21 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,140589500.0,2021-01-16 00:09,,Confirmed,no,,,,
20,Physical Flow,day,2018-01-21 06:00,2018-01-22 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,155668756.0,2021-01-16 02:38,,Confirmed,no,,,,
21,Physical Flow,day,2018-01-22 06:00,2018-01-23 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,221031406.0,2021-01-16 01:52,,Confirmed,no,,,,
22,Physical Flow,day,2018-01-23 06:00,2018-01-24 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,217525977.0,2021-01-16 01:13,,Confirmed,no,,,,
23,Physical Flow,day,2018-01-24 06:00,2018-01-25 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,220461276.0,2021-01-16 01:46,,Confirmed,no,,,,
24,Physical Flow,day,2018-01-25 06:00,2018-01-26 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,218001234.0,2021-01-16 00:47,,Confirmed,no,,,,
25,Physical Flow,day,2018-01-26 06:00,2018-01-27 06:00,21X-FR-A-A0A0A-S,GRTgaz,Oltingue (FR) / Rodersdorf (CH),21Z000000000037W,exit,kWh/d,,,218506149.0,2021-01-16 01:13,,Confirmed,no,,,,
