,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2018-01-01 06:00,2018-01-02 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,130004589.0,2021-01-15 18:38,,Provisional,yes,,yes,,
1,Physical Flow,day,2018-01-02 06:00,2018-01-03 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,160309535.0,2021-01-15 18:23,,Provisional,yes,,yes,,
2,Physical Flow,day,2018-01-03 06:00,2018-01-04 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,173319884.0,2021-01-15 18:43,,Provisional,yes,,yes,,
3,Physical Flow,day,2018-01-04 06:00,2018-01-05 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,166741302.0,2021-01-15 18:40,,Provisional,yes,,yes,,
4,Physical Flow,day,2018-01-05 06:00,2018-01-06 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,165513887.0,2021-01-15 18:21,,Provisional,yes,,yes,,
5,Physical Flow,day,2018-01-06 06:00,2018-01-07 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,173554117.0,2021-01-15 18:43,,Provisional,yes,,yes,,
6,Physical Flow,day,2018-01-07 06:00,2018-01-08 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,155898446.0,2021-01-15 18:40,,Provisional,yes,,yes,,
7,Physical Flow,day,2018-01-08 06:00,2018-01-09 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,243650054.0,2021-01-15 18:23,,Provisional,yes,,yes,,
8,Physical Flow,day,2018-01-09 06:00,2018-01-10 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,218903536.0,2021-01-15 18:47,,Provisional,yes,,yes,,
9,Physical Flow,day,2018-01-10 06:00,2018-01-11 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,283695450.0,2021-01-15 18:40,,Provisional,yes,,yes,,
10,Physical Flow,day,2018-01-11 06:00,2018-01-12 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,287257917.0,2021-01-15 18:42,,Provisional,yes,,yes,,
11,Physical Flow,day,2018-01-12 06:00,2018-01-13 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,211372013.0,2021-01-15 18:47,,Provisional,yes,,yes,,
12,Physical Flow,day,2018-01-13 06:00,2018-01-14 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,193913346.0,2021-01-15 18:23,,Provisional,yes,,yes,,
13,Physical Flow,day,2018-01-14 06:00,2018-01-15 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,204955450.0,2021-01-15 18:42,,Provisional,yes,,yes,,
14,Physical Flow,day,2018-01-15 06:00,2018-01-16 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,224580131.0,2021-01-15 18:34,,Provisional,yes,,yes,,
15,Physical Flow,day,2018-01-16 06:00,2018-01-17 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,197265036.0,2021-01-15 18:21,,Provisional,yes,,yes,,
16,Physical Flow,day,2018-01-17 06:00,2018-01-18 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,212967605.0,2021-01-15 18:38,,Provisional,yes,,yes,,
17,Physical Flow,day,2018-01-18 06:00,2018-01-19 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,195072865.0,2021-01-15 18:34,,Provisional,yes,,yes,,
18,Physical Flow,day,2018-01-19 06:00,2018-01-20 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,189647391.0,2021-01-15 18:43,,Provisional,yes,,yes,,
19,Physical Flow,day,2018-01-20 06:00,2018-01-21 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,180906660.0,2021-01-15 18:38,,Provisional,yes,,yes,,
20,Physical Flow,day,2018-01-21 06:00,2018-01-22 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,179533722.0,2021-01-15 18:21,,Provisional,yes,,yes,,
21,Physical Flow,day,2018-01-22 06:00,2018-01-23 06:00,21X000000001133M,Fluxys TENP,Wallbach,21Z0000000001216,exit,kWh/d,,,175883142.0,2021-01-15 18:43,,Provisional,yes,,yes,,
