,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
0,Physical Flow,day,2019-01-01 06:00,2019-01-02 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5904577,2019-03-06 15:06,,Confirmed,no,,no,,
1,Physical Flow,day,2019-01-02 06:00,2019-01-03 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5724173,2019-03-06 15:06,,Confirmed,no,,no,,
2,Physical Flow,day,2019-01-03 06:00,2019-01-04 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6252054,2019-03-06 15:06,,Confirmed,no,,no,,
3,Physical Flow,day,2019-01-04 06:00,2019-01-05 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7336144,2019-03-06 15:06,,Confirmed,no,,no,,
4,Physical Flow,day,2019-01-05 06:00,2019-01-06 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5738931,2019-03-06 15:06,,Confirmed,no,,no,,
5,Physical Flow,day,2019-01-06 06:00,2019-01-07 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,4253967,2019-03-06 15:06,,Confirmed,no,,no,,
6,Physical Flow,day,2019-01-07 06:00,2019-01-08 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5922918,2019-03-06 15:06,,Confirmed,no,,no,,
7,Physical Flow,day,2019-01-08 06:00,2019-01-09 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6187002,2019-03-06 15:06,,Confirmed,no,,no,,
8,Physical Flow,day,2019-01-09 06:00,2019-01-10 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6173660,2019-03-06 15:06,,Confirmed,no,,no,,
9,Physical Flow,day,2019-01-10 06:00,2019-01-11 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6278647,2019-03-06 15:06,,Confirmed,no,,no,,
10,Physical Flow,day,2019-01-11 06:00,2019-01-12 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6683436,2019-03-06 15:06,,Confirmed,no,,no,,
11,Physical Flow,day,2019-01-12 06:00,2019-01-13 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6338732,2019-03-06 15:06,,Confirmed,no,,no,,
12,Physical Flow,day,2019-01-13 06:00,2019-01-14 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,4745772,2019-03-06 15:06,,Confirmed,no,,no,,
13,Physical Flow,day,2019-01-14 06:00,2019-01-15 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5192706,2019-03-06 15:06,,Confirmed,no,,no,,
14,Physical Flow,day,2019-01-15 06:00,2019-01-16 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5769658,2019-03-06 15:06,,Confirmed,no,,no,,
15,Physical Flow,day,2019-01-16 06:00,2019-01-17 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5942181,2019-03-06 15:06,,Confirmed,no,,no,,
16,Physical Flow,day,2019-01-17 06:00,2019-01-18 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6014600,2019-03-06 15:06,,Confirmed,no,,no,,
17,Physical Flow,day,2019-01-18 06:00,2019-01-19 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,5997141,2019-03-06 15:06,,Confirmed,no,,no,,
18,Physical Flow,day,2019-01-19 06:00,2019-01-20 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6502165,2019-03-06 15:06,,Confirmed,no,,no,,
19,Physical Flow,day,2019-01-20 06:00,2019-01-21 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6835991,2019-03-06 15:06,,Confirmed,no,,no,,
20,Physical Flow,day,2019-01-21 06:00,2019-01-22 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7517079,2019-03-06 15:06,,Confirmed,no,,no,,
21,Physical Flow,day,2019-01-22 06:00,2019-01-23 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7638335,2019-03-06 15:06,,Confirmed,no,,no,,
22,Physical Flow,day,2019-01-23 06:00,2019-01-24 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7763812,2019-03-06 15:06,,Confirmed,no,,no,,
23,Physical Flow,day,2019-01-24 06:00,2019-01-25 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7379726,2019-03-06 15:06,,Confirmed,no,,no,,
24,Physical Flow,day,2019-01-25 06:00,2019-01-26 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6876965,2019-03-06 15:06,,Confirmed,no,,no,,
25,Physical Flow,day,2019-01-26 06:00,2019-01-27 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6584443,2019-03-06 15:06,,Confirmed,no,,no,,
26,Physical Flow,day,2019-01-27 06:00,2019-01-28 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6760944,2019-03-06 15:06,,Confirmed,no,,no,,
27,Physical Flow,day,2019-01-28 06:00,2019-01-29 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6530519,2019-03-06 15:06,,Confirmed,no,,no,,
28,Physical Flow,day,2019-01-29 06:00,2019-01-30 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,6716550,2019-03-06 15:06,,Confirmed,no,,no,,
29,Physical Flow,day,2019-01-30 06:00,2019-01-31 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7253349,2019-03-06 15:06,,Confirmed,no,,no,,
30,Physical Flow,day,2019-01-31 06:00,2019-02-01 06:00,21X-IT-A-A0A0A-7,Snam Rete Gas,Bizzarone,21Z000000000277C,exit,kWh/d,,,7143872,2019-03-06 15:06,,Confirmed,no,,no,,
