,indicator,periodType,periodFrom,periodTo,tsoEicCode,operatorLabel,pointLabel,tsoItemIdentifier,directionKey,unit,itemRemarks,generalRemarks,value,lastUpdateDateTime,isUnlimited,flowStatus,isCamRelevant,isNA,isCmpRelevant,interruptionCalculationRemark,isArchived
27,Physical Flow,day,2018-01-28 06:00,2018-01-29 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3602002,2022-01-24 10:51,,Confirmed,yes,,yes,,
28,Physical Flow,day,2018-01-29 06:00,2018-01-30 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3601786,2022-01-24 10:51,,Confirmed,yes,,yes,,
29,Physical Flow,day,2018-01-30 06:00,2018-01-31 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3603192,2022-01-24 10:51,,Confirmed,yes,,yes,,
30,Physical Flow,day,2018-01-31 06:00,2018-02-01 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3523368,2022-01-24 10:51,,Confirmed,yes,,yes,,
31,Physical Flow,day,2018-02-01 06:00,2018-02-02 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3608212,2022-01-24 10:51,,Confirmed,yes,,yes,,
32,Physical Flow,day,2018-02-02 06:00,2018-02-03 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3601906,2022-01-24 10:51,,Confirmed,yes,,yes,,
33,Physical Flow,day,2018-02-03 06:00,2018-02-04 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3601082,2022-01-24 10:51,,Confirmed,yes,,yes,,
34,Physical Flow,day,2018-02-04 06:00,2018-02-05 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,3601443,2022-01-24 10:51,,Confirmed,yes,,yes,,
35,Physical Flow,day,2018-02-05 06:00,2018-02-06 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,5450791,2022-01-24 10:51,,Confirmed,yes,,yes,,
36,Physical Flow,day,2018-02-06 06:00,2018-02-07 06:00,21X000000001163D,terranets bw,RC Thayngen-Fallentor,21Z000000000254O,exit,kWh/d,,,5452471,2022-01-24 10:51,,Confirmed,yes,,yes,,
