date,2022,Mittelwert,Maximum,Minimum
2022-01-01,58.31,65.11699999999999,85.1,51.26
2022-01-02,58.44,64.561,84.26,50.93
2022-01-03,58.3,63.965999999999994,83.66,50.57
2022-01-04,57.97,63.354,83.06,50.25
2022-01-05,57.33,62.698,82.4,49.9
2022-01-06,56.64,62.02,81.46,49.57
2022-01-07,55.84,61.345000000000006,80.51,49.16
2022-01-08,55.33,60.70399999999999,79.74,48.53
2022-01-09,54.73,60.053999999999995,78.99,47.87
2022-01-10,53.71,59.379,78.31,47.27
2022-01-11,52.66,58.712,77.61,46.69
2022-01-12,51.64,58.092999999999996,77.06,46.05
2022-01-13,50.52,57.492,76.34,45.46
2022-01-14,49.37,56.775999999999996,75.25,44.93
2022-01-15,48.46,56.05499999999999,74.2,44.32
2022-01-16,47.67,55.326,73.13,43.71
2022-01-17,46.62,54.547000000000004,72.05,43.02
2022-01-18,45.6,53.745000000000005,70.91,42.36
2022-01-19,44.76,52.951,69.7,41.68
2022-01-20,43.82,52.17100000000001,68.32,41.13
2022-01-21,42.9,51.355999999999995,66.82,40.58
2022-01-22,42.04,50.534,65.3,39.93
2022-01-23,41.22,49.701,63.78,39.33
2022-01-24,40.28,48.882999999999996,62.41,38.81
2022-01-25,39.32,48.077,61.33,38.17
2022-01-26,38.34,47.321,60.43,37.48
2022-01-27,37.4,46.607,59.46,36.91
2022-01-28,36.67,45.906,58.41,36.41
2022-01-29,36.18,45.230000000000004,57.27,35.78
2022-01-30,35.72,44.538,56.38,35.19
2022-01-31,34.98,43.858999999999995,55.48,34.58
2022-02-01,34.29,43.211,55.53,33.83
2022-02-02,33.66,42.553999999999995,55.3,33.03
2022-02-03,32.94,41.878,54.81,32.31
2022-02-04,32.49,41.15,54.11,31.62
2022-02-05,32.23,40.376999999999995,53.13,30.77
2022-02-06,32.03,39.6,51.99,29.92
2022-02-07,31.53,38.842,51.15,29.11
2022-02-08,30.97,38.077,50.58,28.21
2022-02-09,30.43,37.356,50.23,27.49
2022-02-10,29.85,36.601,49.59,26.94
2022-02-11,29.19,35.824,48.72,26.46
2022-02-12,28.52,35.048,47.73,25.76
2022-02-13,28.13,34.278,46.81,24.97
2022-02-14,27.59,33.607,45.94,24.29
2022-02-15,27.15,33.033,45.6,23.7
2022-02-16,26.84,32.541,45.37,23.21
2022-02-17,26.5,32.03,44.93,22.7
2022-02-18,26.26,31.468,44.29,22.17
2022-02-19,25.9,30.895999999999997,43.59,21.41
2022-02-20,25.63,30.395999999999997,42.98,20.86
2022-02-21,25.09,29.881999999999998,42.35,20.21
2022-02-22,24.61,29.363999999999997,41.95,19.46
2022-02-23,24.26,28.897,41.68,18.58
2022-02-24,23.93,28.487000000000002,41.33,17.94
2022-02-25,23.34,27.987000000000002,40.69,17.27
2022-02-26,22.94,27.442,39.69,16.35
2022-02-27,22.61,26.919,38.72,15.42
2022-02-28,22.04,26.358999999999998,37.85,14.45
2022-03-01,21.64,25.873,36.99,13.52
2022-03-02,21.25,25.509999999999998,36.37,12.66
2022-03-03,20.91,25.144,35.59,12.09
2022-03-04,20.72,24.767,35.0,11.61
2022-03-05,20.52,24.362000000000002,34.31,11.06
2022-03-06,20.26,24.000999999999998,33.54,10.51
2022-03-07,19.66,23.688,33.13,9.96
2022-03-08,19.2,23.422,32.9,9.45
2022-03-09,18.86,23.169,32.44,9.17
2022-03-10,18.73,23.021,32.21,9.04
2022-03-11,18.77,22.863,32.14,8.93
2022-03-12,19.04,22.692,32.1,8.66
2022-03-13,19.16,22.425,31.65,8.36
2022-03-14,18.85,22.21,31.55,7.99
2022-03-15,18.77,22.053,31.59,7.65
2022-03-16,18.81,21.887999999999998,31.26,7.27
2022-03-17,18.96,21.747,31.28,6.95
2022-03-18,19.23,21.553,31.2,6.5
2022-03-19,19.78,21.337,31.19,5.9
2022-03-20,20.24,21.18,31.26,5.29
2022-03-21,20.51,21.041999999999998,31.47,4.77
2022-03-22,20.82,20.896,31.54,4.31
2022-03-23,21.18,20.784,31.44,3.88
2022-03-24,21.54,20.712,31.11,3.75
2022-03-25,22.14,20.619999999999997,30.76,3.7
2022-03-26,22.81,20.524,30.41,3.52
2022-03-27,23.44,20.438,30.33,3.32
2022-03-28,23.81,20.395000000000003,30.32,3.16
2022-03-29,24.09,20.461000000000002,30.21,3.04
2022-03-30,24.07,20.534,29.93,2.97
2022-03-31,23.66,20.086000000000002,30.01,2.9
2022-04-01,23.31,20.548,30.06,2.85
2022-04-02,23.07,21.085,30.57,2.82
2022-04-03,22.86,21.226,30.66,2.82
2022-04-04,22.58,21.374000000000002,30.68,2.88
2022-04-05,22.45,21.531,31.29,2.85
