date,2022,Mittelwert,Maximum,Minimum
2022-01-01,50.52,75.46545454545455,96.91,60.74
2022-01-02,50.74,75.13818181818182,96.53,60.56
2022-01-03,50.79,74.75090909090909,96.28,60.16
2022-01-04,50.65,74.34636363636363,96.12,59.46
2022-01-05,50.19,73.89272727272727,95.94,58.79
2022-01-06,49.68,73.46363636363637,95.63,58.31
2022-01-07,49.15,72.99636363636364,95.25,57.99
2022-01-08,48.78,72.59818181818181,94.86,58.08
2022-01-09,48.41,72.20181818181818,94.69,58.27
2022-01-10,47.55,71.77,94.54,57.89
2022-01-11,46.63,71.29818181818182,94.34,57.47
2022-01-12,45.77,70.85181818181819,94.09,56.91
2022-01-13,44.99,70.43363636363637,93.83,56.09
2022-01-14,44.22,69.98636363636363,93.64,55.51
2022-01-15,43.72,69.47727272727273,93.43,54.83
2022-01-16,43.35,68.95818181818181,93.19,53.75
2022-01-17,42.79,68.34272727272727,92.92,52.55
2022-01-18,42.02,67.64999999999999,92.64,51.26
2022-01-19,41.41,66.99,92.26,50.09
2022-01-20,40.69,66.32727272727273,91.6,49.0
2022-01-21,39.85,65.68,90.91,48.26
2022-01-22,39.3,65.05000000000001,90.27,47.46
2022-01-23,38.81,64.43454545454546,89.56,46.32
2022-01-24,37.96,63.845454545454544,88.86,45.17
2022-01-25,37.09,63.29909090909091,88.37,43.93
2022-01-26,36.35,62.77090909090909,87.98,42.87
2022-01-27,35.81,62.27909090909091,87.59,41.98
2022-01-28,35.22,61.81272727272728,87.02,41.38
2022-01-29,35.03,61.36363636363637,86.51,40.84
2022-01-30,34.83,60.83909090909091,86.04,40.19
2022-01-31,34.33,60.31636363636364,85.88,39.52
2022-02-01,34.0,59.804545454545455,85.84,39.04
2022-02-02,33.65,59.27454545454545,85.77,38.57
2022-02-03,33.4,58.71454545454546,85.46,38.2
2022-02-04,33.22,58.157272727272726,85.08,37.97
2022-02-05,33.15,57.58909090909091,84.59,37.69
2022-02-06,33.08,56.99181818181818,83.83,37.11
2022-02-07,32.77,56.38272727272727,83.39,36.5
2022-02-08,32.54,55.75,83.04,35.8
2022-02-09,32.34,55.08363636363636,82.91,34.83
2022-02-10,31.95,54.47818181818182,82.69,33.83
2022-02-11,31.6,53.86636363636364,82.38,33.28
2022-02-12,31.36,53.28636363636363,81.98,33.07
2022-02-13,31.27,52.70636363636363,81.59,32.4
2022-02-14,31.11,52.18363636363636,81.34,31.78
2022-02-15,30.89,51.78454545454545,81.29,31.49
2022-02-16,30.69,51.42090909090909,81.31,31.1
2022-02-17,30.52,51.095454545454544,81.13,30.68
2022-02-18,30.34,50.76090909090909,80.89,30.45
2022-02-19,30.14,50.58636363636364,80.68,30.23
2022-02-20,30.04,50.224545454545456,80.48,29.96
2022-02-21,29.76,49.57545454545455,80.28,29.78
2022-02-22,29.43,49.16181818181818,80.22,29.59
2022-02-23,29.2,48.77090909090909,80.18,29.38
2022-02-24,29.11,48.358181818181826,79.95,29.07
2022-02-25,28.85,47.95636363636363,79.76,28.85
2022-02-26,28.65,47.56181818181819,79.34,28.69
2022-02-27,28.51,47.15909090909091,78.73,28.37
