date,2022,Mittelwert,Maximum,Minimum
2022-01-01,58.31,63.15,70.37,51.26
2022-01-02,58.44,62.650999999999996,69.54,50.93
2022-01-03,58.3,62.088,68.47,50.57
2022-01-04,57.97,61.480999999999995,67.76,50.25
2022-01-05,57.33,60.836,66.95,49.9
2022-01-06,56.64,60.19,66.3,49.57
2022-01-07,55.84,59.54600000000001,65.68,49.16
2022-01-08,55.33,58.912,65.07,48.53
2022-01-09,54.73,58.294000000000004,64.39,47.87
2022-01-10,53.71,57.646,63.83,47.27
2022-01-11,52.66,56.987,63.41,46.69
2022-01-12,51.64,56.358000000000004,62.76,46.05
2022-01-13,50.52,55.757000000000005,62.08,45.46
2022-01-14,49.37,55.08200000000001,61.32,44.93
2022-01-15,48.46,54.391999999999996,60.7,44.32
2022-01-16,47.67,53.697,60.07,43.71
2022-01-17,46.62,52.952999999999996,59.46,43.02
2022-01-18,45.6,52.162,58.73,42.36
2022-01-19,44.76,51.391,57.78,41.68
2022-01-20,43.82,50.653000000000006,56.84,41.13
2022-01-21,42.9,49.89,55.92,40.58
2022-01-22,42.04,49.131,55.29,39.93
2022-01-23,41.22,48.391,54.64,39.33
2022-01-24,40.28,47.668,54.0,38.81
2022-01-25,39.32,46.92,53.37,38.17
2022-01-26,38.34,46.201,52.77,37.48
2022-01-27,37.4,45.539,52.12,36.91
2022-01-28,36.67,44.891000000000005,51.45,36.41
2022-01-29,36.18,44.278999999999996,50.73,35.78
2022-01-30,35.72,43.628,49.86,35.19
2022-01-31,34.98,42.999,48.97,34.58
2022-02-01,34.29,42.317,48.0,33.83
2022-02-02,33.66,41.642,46.94,33.03
2022-02-03,32.94,41.114,47.17,32.31
2022-02-04,32.49,40.393,46.54,31.62
2022-02-05,32.23,39.666000000000004,46.02,30.77
2022-02-06,32.03,38.972,45.71,29.92
2022-02-07,31.53,38.266000000000005,45.39,29.11
2022-02-08,30.97,37.506,44.87,28.21
2022-02-09,30.43,36.756,44.23,27.49
2022-02-10,29.85,35.989,43.47,26.94
2022-02-11,29.19,35.231,42.79,26.46
2022-02-12,28.52,34.499,42.24,25.76
2022-02-13,28.13,33.781,41.84,24.97
2022-02-14,27.59,33.150999999999996,41.38,24.29
2022-02-15,27.15,32.538,40.65,23.7
2022-02-16,26.84,31.979000000000003,39.75,23.21
2022-02-17,26.5,31.423000000000002,38.86,22.7
2022-02-18,26.26,30.837,37.98,22.17
2022-02-19,25.9,30.266,37.29,21.41
2022-02-20,25.63,29.79,36.92,20.86
2022-02-21,25.09,29.317,36.7,20.21
2022-02-22,24.61,28.814,36.45,19.46
2022-02-23,24.26,28.325,35.96,18.58
2022-02-24,23.93,27.894,35.4,17.94
2022-02-25,23.34,27.4,34.82,17.27
2022-02-26,22.94,26.895999999999997,34.23,16.35
2022-02-27,22.61,26.429000000000002,33.82,15.42
2022-02-28,22.04,25.912,33.38,14.45
2022-03-01,21.64,25.372999999999998,31.99,13.52
2022-03-02,21.25,25.031,31.58,12.66
2022-03-03,20.91,24.677,30.92,12.09
2022-03-04,20.72,24.301,30.34,11.61
2022-03-05,20.52,23.921,29.9,11.06
2022-03-06,20.26,23.602,29.55,10.51
2022-03-07,19.66,23.264,29.21,9.96
2022-03-08,19.2,22.958000000000002,28.92,9.45
2022-03-09,18.86,22.7,28.73,9.17
2022-03-10,18.73,22.519,28.79,9.04
2022-03-11,18.77,22.324,28.64,8.93
2022-03-12,19.04,22.128999999999998,28.72,8.66
2022-03-13,19.16,21.878999999999998,28.81,8.36
2022-03-14,18.85,21.634,28.84,7.99
2022-03-15,18.77,21.441,28.86,7.65
2022-03-16,18.81,21.265,28.95,7.27
2022-03-17,18.96,21.07,28.92,6.95
2022-03-18,19.23,20.849,28.99,6.5
2022-03-19,19.78,20.614,28.98,5.9
2022-03-20,20.24,20.431,28.99,5.29
2022-03-21,20.51,20.223,28.91,4.77
2022-03-22,20.82,20.048,28.92,4.31
2022-03-23,21.18,19.916,28.97,3.88
2022-03-24,21.54,19.849,29.13,3.75
2022-03-25,22.14,19.77,29.31,3.7
2022-03-26,22.81,19.704,29.54,3.52
2022-03-27,23.44,19.624000000000002,29.76,3.32
2022-03-28,23.81,19.579,29.8,3.16
2022-03-29,24.09,19.64,29.85,3.04
2022-03-30,24.07,19.726999999999997,29.93,2.97
2022-03-31,23.66,19.28,30.01,2.9
2022-04-01,23.31,19.677,30.06,2.85
2022-04-02,23.07,20.211,30.57,2.82
